country,country_map,continent,GDP_per_capita,v2,bts1,bts,total_bts,percentage_sample,ps,total_ps,ps2014
AND,AD,Europe,41.99279336,21,1,0,11484,0,33,13646,0.002418291
ATG,AG,North America,18.74517351,10,1,0,11484,0,0,13646,0
ARM,AM,Asia,7.01420659,7.01420659,1,0,11484,0,0,13646,0
AGO,AO,Africa,2.99850116,2.99850116,1,0,11484,0,0,13646,0
AZE,AZ,Asia,7.73670123,7.73670123,1,0,11484,0,0,13646,0
BIH,BA,Europe,7.585375,5,1,0,11484,0,33,13646,0.002418291
BRB,BB,North America,20.01851515,20.01851515,1,0,11484,0,0,13646,0
BGD,BD,Asia,2.68830395,2.68830395,1,0,11484,0,0,13646,0
BFA,BF,Africa,0.83288427,0.83288427,1,0,11484,0,0,13646,0
BGR,BG,Europe,13.77247679,13.77247679,1,0,11484,0,33,13646,0.002418291
BHR,BH,Asia,30.15203468,30.15203468,1,0,11484,0,0,13646,0
BDI,BI,Africa,0.23844188,0.23844188,1,0,11484,0,0,13646,0
BEN,BJ,Africa,1.30322201,1.30322201,1,0,11484,0,0,13646,0
BMU,BM,North America,118.8456211,118.8456211,1,0,11484,0,0,13646,0
BRN,BN,Asia,37.15246624,23,1,0,11484,0,0,13646,0
BOL,BO,South America,3.52327373,3.52327373,1,0,11484,0,0,13646,0
BHS,BS,North America,31.45830081,22,1,0,11484,0,0,13646,0
BWA,BW,Africa,7.73765468,7.73765468,1,0,11484,0,0,13646,0
BLR,BY,Europe,7.90485624,7.90485624,1,0,11484,0,33,13646,0.002418291
BLZ,BZ,North America,6.96836159,6.96836159,1,0,11484,0,0,13646,0
COD,CD,Africa,0.58646429,0.58646429,1,0,11484,0,0,13646,0
CAF,CF,Africa,0.4270581,0.4270581,1,0,11484,0,0,13646,0
COG,CG,Africa,2.44798899,2.44798899,1,0,11484,0,0,13646,0
CIV,CI,Africa,2.48641219,2.48641219,1,0,11484,0,0,13646,0
CMR,CM,Africa,1.58847872,1.58847872,1,0,11484,0,0,13646,0
CRI,CR,North America,13.19882172,13.19882172,1,0,11484,0,0,13646,0
CPV,CV,Africa,3.90258905,3.90258905,1,0,11484,0,0,13646,0
CYP,CY,Asia,31.28350586,22,1,0,11484,0,0,13646,0
CZE,CZ,Europe,27.63837328,27.63837328,1,0,11484,0,33,13646,0.002418291
DJI,DJ,Africa,3.13611296,3.13611296,1,0,11484,0,0,13646,0
DMA,DM,North America,8.41453659,8.41453659,1,0,11484,0,0,13646,0
DOM,DO,North America,10.12055116,10.12055116,1,0,11484,0,0,13646,0
DZA,DZ,Africa,4.27392218,4.27392218,1,0,11484,0,0,13646,0
EST,EE,Europe,28.33262909,28.33262909,1,0,11484,0,33,13646,0.002418291
EGY,EG,Africa,4.2954075,4.2954075,1,0,11484,0,0,13646,0
ETH,ET,Africa,1.02758592,1.02758592,1,0,11484,0,0,13646,0
FJI,FJ,Oceania,5.31665839,5.31665839,1,0,11484,0,0,13646,0
FSM,FM,Oceania,3.74105777,3.74105777,1,0,11484,0,0,13646,0
GAB,GA,Africa,8.82034734,8.82034734,1,0,11484,0,0,13646,0
GRD,GD,North America,10.01620869,10.01620869,1,0,11484,0,0,13646,0
GEO,GE,Asia,6.62770698,6.62770698,1,0,11484,0,0,13646,0
GHA,GH,Africa,2.17585977,2.17585977,1,0,11484,0,0,13646,0
GMB,GM,Africa,0.84001019,0.84001019,1,0,11484,0,0,13646,0
GIN,GN,Africa,1.53165648,1.53165648,1,0,11484,0,0,13646,0
GNQ,GQ,Africa,7.05346709,7.05346709,1,0,11484,0,0,13646,0
GTM,GT,North America,5.47320874,5.47320874,1,0,11484,0,0,13646,0
GNB,GW,Africa,0.77582897,0.77582897,1,0,11484,0,0,13646,0
GUY,GY,South America,18.9897902,18.9897902,1,0,11484,0,0,13646,0
HKG,HK,Asia,48.9836238,48.9836238,1,0,11484,0,0,13646,0
HND,HN,North America,3.04017308,3.04017308,1,0,11484,0,0,13646,0
HRV,HR,Europe,18.41323468,18.41323468,1,0,11484,0,33,13646,0.002418291
HTI,HT,North America,1.74825713,1.74825713,1,0,11484,0,0,13646,0
IDN,ID,Asia,4.78799931,4.78799931,1,0,11484,0,0,13646,0
IRL,IE,Europe,104.0389461,104.0389461,1,0,11484,0,33,13646,0.002418291
ISR,IL,Asia,54.65975396,54.65975396,1,0,11484,0,0,13646,0
IND,IN,Asia,2.3886212,2.3886212,1,0,11484,0,0,13646,0
IRQ,IQ,Asia,5.93719547,5.93719547,1,0,11484,0,0,13646,0
ISL,IS,Europe,72.90297995,72.90297995,1,0,11484,0,33,13646,0.002418291
JAM,JM,North America,6.04721646,2,1,0,11484,0,0,13646,0
JOR,JO,Asia,4.20450564,4.20450564,1,0,11484,0,0,13646,0
JPN,JP,Asia,33.81531727,33.81531727,1,0,11484,0,0,13646,0
KGZ,KG,Asia,1.60666808,1.60666808,1,0,11484,0,0,13646,0
KHM,KH,Asia,1.78656082,1.78656082,1,0,11484,0,0,13646,0
KIR,KI,Oceania,1.70197012,1.70197012,1,0,11484,0,0,13646,0
COM,KM,Africa,1.48489247,1.48489247,1,0,11484,0,0,13646,0
KNA,KN,North America,20.17674758,20.17674758,1,0,11484,0,0,13646,0
KOR,KR,Asia,32.25462472,32.25462472,1,0,11484,0,0,13646,0
KWT,KW,Asia,43.23348909,43.23348909,1,0,11484,0,0,13646,0
KAZ,KZ,Asia,11.24367123,11.24367123,1,0,11484,0,0,13646,0
LAO,LA,Asia,2.08837718,2.08837718,1,0,11484,0,0,13646,0
LCA,LC,North America,11.48149672,11.48149672,1,0,11484,0,0,13646,0
LKA,LK,Asia,3.35438341,3.35438341,1,0,11484,0,0,13646,0
LBR,LR,Africa,0.75453288,0.75453288,1,0,11484,0,0,13646,0
LSO,LS,Africa,1.1073953,1.1073953,1,0,11484,0,0,13646,0
LTU,LT,Europe,24.82679104,2,1,0,11484,0,33,13646,0.002418291
LUX,LU,Europe,126.4260899,126.4260899,1,0,11484,0,33,13646,0.002418291
LVA,LV,Europe,21.8511052,21.8511052,1,0,11484,0,33,13646,0.002418291
LBY,LY,Africa,6.71609599,6.71609599,1,0,11484,0,0,13646,0
MAR,MA,Africa,3.5279419,3.5279419,1,0,11484,0,0,13646,0
MDA,MD,Europe,5.56261363,5.56261363,1,0,11484,0,33,13646,0.002418291
MNE,ME,Europe,9.89351591,9.89351591,1,0,11484,0,33,13646,0.002418291
MDG,MG,Africa,0.50503553,0.50503553,1,0,11484,0,0,13646,0
MHL,MH,Oceania,6.72779956,6.72779956,1,0,11484,0,0,13646,0
MKD,MK,Europe,6.59147129,6.59147129,1,0,11484,0,33,13646,0.002418291
MLI,ML,Africa,0.83329726,0.83329726,1,0,11484,0,0,13646,0
MMR,MM,Asia,1.09570179,2,1,0,11484,0,0,13646,0
MNG,MN,Asia,4.94675481,4.94675481,1,0,11484,0,0,13646,0
MAC,MO,Asia,31.6175019,2,1,0,11484,0,0,13646,0
MRT,MR,Africa,2.19070021,2.19070021,1,0,11484,0,0,13646,0
MLT,MT,Europe,33.9409496,33.9409496,1,0,11484,0,33,13646,0.002418291
MUS,MU,Africa,10.21629474,10.21629474,1,0,11484,0,0,13646,0
MDV,MV,Asia,11.81752393,11.81752393,1,0,11484,0,0,13646,0
MWI,MW,Africa,0.64515869,0.64515869,1,0,11484,0,0,13646,0
MOZ,MZ,Africa,0.54145443,0.54145443,1,0,11484,0,0,13646,0
NAM,NA,Africa,4.91132764,4.91132764,1,0,11484,0,0,13646,0
NER,NE,Africa,0.53302876,0.53302876,1,0,11484,0,0,13646,0
NIC,NI,North America,2.25542599,2.25542599,1,0,11484,0,0,13646,0
NPL,NP,Asia,1.33654605,1.33654605,1,0,11484,0,0,13646,0
NRU,NR,Oceania,11.91365733,2,1,0,11484,0,0,13646,0
OMN,OM,Asia,25.05679486,25.05679486,1,0,11484,0,0,13646,0
PAN,PA,North America,17.35762863,17.35762863,1,0,11484,0,0,13646,0
PNG,PG,Oceania,3.02026965,3.02026965,1,0,11484,0,0,13646,0
PHL,PH,Asia,3.49850982,3.49850982,1,0,11484,0,0,13646,0
PAK,PK,Asia,1.59666266,1.59666266,1,0,11484,0,0,13646,0
PSE,PS,Asia,3.78932797,3.78932797,1,0,11484,0,0,13646,0
PRT,PT,Europe,24.27451658,24.27451658,1,0,11484,0,33,13646,0.002418291
PRY,PY,South America,6.15305568,6.15305568,1,0,11484,0,0,13646,0
QAT,QA,Asia,88.04632042,88.04632042,1,0,11484,0,0,13646,0
RWA,RW,Africa,0.96632711,0.96632711,1,0,11484,0,0,13646,0
SAU,SA,Asia,30.4362783,30.4362783,1,0,11484,0,0,13646,0
SLB,SB,Oceania,2.20318966,2.20318966,1,0,11484,0,0,13646,0
SYC,SC,Africa,15.87454007,15.87454007,1,0,11484,0,0,13646,0
SDN,SD,Africa,1.10214648,1.10214648,1,0,11484,0,0,13646,0
SGP,SG,Asia,82.80764908,82.80764908,1,0,11484,0,0,13646,0
SVN,SI,Europe,29.45740284,29.45740284,1,0,11484,0,33,13646,0.002418291
SLE,SL,Africa,0.46136114,0.46136114,1,0,11484,0,0,13646,0
SEN,SN,Africa,1.59873599,1.59873599,1,0,11484,0,0,13646,0
SOM,SO,Africa,0.46177585,2,1,0,11484,0,0,13646,0
SUR,SR,South America,5.85828606,5.85828606,1,0,11484,0,0,13646,0
STP,ST,Africa,2.40425869,2.40425869,1,0,11484,0,0,13646,0
SXM,SX,North America,36.22033801,36.22033801,1,0,11484,0,0,13646,0
SWZ,SZ,Eswatini,4.03951804,4.03951804,1,0,11484,0,0,13646,0
TCA,TC,North America,24.91759581,24.91759581,1,0,11484,0,0,13646,0
TCD,TD,Africa,0.71680438,0.71680438,1,0,11484,0,0,13646,0
TGO,TG,Africa,0.91837676,0.91837676,1,0,11484,0,0,13646,0
TJK,TJ,Asia,1.05418948,1.05418948,1,0,11484,0,0,13646,0
TLS,TL,Asia,2.35840905,2.35840905,1,0,11484,0,0,13646,0
TUN,TN,Africa,3.77666778,3.77666778,1,0,11484,0,0,13646,0
TTO,TT,North America,18.22226033,18.22226033,1,0,11484,0,0,13646,0
TUV,TV,Oceania,5.33498861,5.33498861,1,0,11484,0,0,13646,0
TZA,TZ,Africa,1.19240381,1.19240381,1,0,11484,0,0,13646,0
UKR,UA,Europe,4.53397559,4.53397559,1,0,11484,0,33,13646,0.002418291
UGA,UG,Africa,0.96422439,0.96422439,1,0,11484,0,0,13646,0
URY,UY,South America,20.79504235,2,1,0,11484,0,0,13646,0
UZB,UZ,Asia,2.25515116,2,1,0,11484,0,0,13646,0
VCT,VC,North America,9.1253175,9.1253175,1,0,11484,0,0,13646,0
VNM,VN,Asia,4.1635143,2,1,0,11484,0,0,13646,0
VUT,VU,Oceania,3.01029217,3.01029217,1,0,11484,0,0,13646,0
WSM,WS,Oceania,3.74320568,3.74320568,1,0,11484,0,0,13646,0
XKX,XK,Europe,5.35143954,5.35143954,1,0,11484,0,33,13646,0.002418291
YEM,YE,Asia,0.67692839,0.67692839,1,0,11484,0,0,13646,0
ZMB,ZM,Africa,1.48790776,2,1,0,11484,0,0,13646,0
ZWE,ZW,Africa,1.26699603,1.26699603,1,0,11484,0,0,13646,0
ROU,RO,Europe,15.89211853,22,27,27,11484,0.002351712,33,13646,0.002418291
POL,PL,Europe,18.32128089,18.32128089,36,36,11484,0.003135615,33,13646,0.002418291
NGA,NG,Africa,2.18442149,2.18442149,43,43,11484,0.003745318,0,13646,0
FIN,FI,Europe,50.53662447,50.53662447,46,46,11484,0.00400662,33,13646,0.002418291
IRN,IR,Asia,4.38782572,2,48,48,11484,0.00418082,0,13646,0
SRB,RS,Europe,9.39362891,9.39362891,69,69,11484,0.006009929,33,13646,0.002418291
PRI,PR,North America,35.20863719,35.20863719,76,76,11484,0.006619632,0,13646,0
ARE,AE,Asia,53.75786325,53.75786325,80,80,11484,0.006968034,0,13646,0
BEL,BE,Europe,49.58282536,49.58282536,86,86,11484,0.007490637,125,13646,0.009160193
SLV,SV,North America,5.12732167,5.12732167,89,89,11484,0.007751938,0,13646,0
ARG,AR,South America,13.68600867,10,91,91,11484,0.007926139,0,13646,0
DNK,DK,Europe,66.983132,66.983132,92,92,11484,0.008013239,33,13646,0.002418291
GRC,GR,Europe,20.73205222,20.73205222,99,99,11484,0.008622942,33,13646,0.002418291
ECU,EC,South America,6.39128248,6.39128248,105,105,11484,0.009145545,0,13646,0
CHE,CH,Europe,92.10146974,92.10146974,109,109,11484,0.009493947,54,13646,0.003957204
PER,PE,South America,7.12582924,7.12582924,115,115,11484,0.010016549,0,13646,0
ZAF,ZA,Africa,6.77648008,6.77648008,130,130,11484,0.011323055,6570,13646,0.481459768
SWE,SE,Europe,55.87322081,55.87322081,152,152,11484,0.013239265,33,13646,0.002418291
ITA,IT,Europe,34.15799012,22,153,153,11484,0.013326365,33,13646,0.002418291
NZL,NZ,Oceania,48.24926402,22,159,159,11484,0.013848968,0,13646,0
HUN,HU,Europe,18.46320852,18.46320852,174,174,11484,0.015155474,33,13646,0.002418291
THA,TH,Asia,6.90880212,6.90880212,183,183,11484,0.015939378,0,13646,0
BRA,BR,South America,8.9176739,8.9176739,201,201,11484,0.017507186,0,13646,0
FRA,FR,Europe,40.96383734,22,211,211,11484,0.01837819,33,13646,0.002418291
AUT,AT,Europe,52.13144666,52.13144666,236,236,11484,0.020555701,33,13646,0.002418291
RUS,RU,Europe,15.34509668,15.34509668,240,240,11484,0.020904102,33,13646,0.002418291
MEX,MX,North America,11.09130543,11.09130543,249,249,11484,0.021688006,0,13646,0
SVK,SK,Europe,21.25811414,22,263,263,11484,0.022907412,33,13646,0.002418291
DEU,DE,Europe,48.43245587,48.43245587,266,266,11484,0.023168714,192,13646,0.014070057
ESP,ES,Europe,29.35016852,29.35016852,270,270,11484,0.023517115,33,13646,0.002418291
MYS,MY,Asia,11.9719276,11.9719276,281,281,11484,0.02447522,0,13646,0
TUR,TR,Asia,10.61606104,10.61606104,286,286,11484,0.024910722,0,13646,0
CHN,CN,Asia,12.72021564,12.72021564,316,316,11484,0.027523735,0,13646,0
KEN,KE,Africa,2.09930194,2.09930194,347,347,11484,0.030223848,0,13646,0
NLD,NL,Europe,55.98540343,55.98540343,356,356,11484,0.031007752,33,13646,0.002418291
GBR,GB,Europe,45.85042612,45.85042612,361,361,11484,0.031443254,488,13646,0.035761395
NOR,NO,Europe,106.1487786,222,363,363,11484,0.031617455,33,13646,0.002418291
CHL,CL,South America,15.3555065,15.3555065,430,430,11484,0.037453184,0,13646,0
COL,CO,South America,6.63028273,6.63028273,446,446,11484,0.03884679,0,13646,0
CAN,CA,North America,54.96648884,54.96648884,630,630,11484,0.054873269,0,13646,0
AUS,AU,Oceania,64.49142989,64.49142989,885,885,11484,0.077083878,0,13646,0
USA,US,North America,76.39859174,76.39859174,2682,2682,11484,0.233603345,6189,13646,0.453539499
